2025-08-10 03:19:33 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-10 03:29:27 | Lat: 23.7844852 | Lng: 90.4237852 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 03:34:46 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-10 03:43:28 | Lat: 23.7967381 | Lng: 90.4235844 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 03:56:42 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-10 04:00:20 | Lat: 23.8018388 | Lng: 90.4235096 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 04:30:33 | Lat: 23.801884 | Lng: 90.4234792 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 04:40:43 | Lat: 23.8018508 | Lng: 90.4234908 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 04:56:19 | Lat: 23.8018677 | Lng: 90.4234794 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 05:10:03 | Lat: 23.8018677 | Lng: 90.4234794 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 05:20:03 | Lat: 23.8019061 | Lng: 90.4234546 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 05:30:49 | Lat: 23.8019036 | Lng: 90.4234572 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 05:56:26 | Lat: 23.8019056 | Lng: 90.4232651 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 06:09:58 | Lat: 23.8018914 | Lng: 90.4234645 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 06:19:58 | Lat: 23.8018943 | Lng: 90.4234943 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 06:37:31 | Lat: 23.8018887 | Lng: 90.4234871 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 06:50:55 | Lat: 23.8019103 | Lng: 90.4234601 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 07:27:05 | Lat: 23.8019003 | Lng: 90.4234534 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 07:37:05 | Lat: 23.8018825 | Lng: 90.4234829 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-10 12:28:50 | Lat: 23.8019346 | Lng: 90.4233054 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
